,"Total energy, Btu","Fossil fuels, Btu","Coal, Btu","Natural gas, Btu","Petroleum, Btu",Water consumption: gallons,VOC,CO,NOx,PM10,PM2.5,SOx,BC,OC,CH4,N2O,CO2,Biogenic CO2,Primary Unit
diesel,182676.7825370137,176795.22293214005,7940.273987246283,122277.32447494021,46577.624469953575,22.784345691485484,7.367245446185991,11.751091372191308,17.859392726186005,1.3044910329962378,1.1052585631390863,4.753298168477305,0.17046664413796253,0.2997836435611494,109.49990635633343,0.22203045930500803,12944.332260403211,0,mmBtu
electricity_u.s. mix,2030788.9805523627,1595100.2772139744,610146.0690337642,958187.7220640706,26766.486116139466,181.94958337414994,14.163040112750402,49.80816949272595,89.20995797597102,13.192309126038818,7.550839763151128,76.08592280795361,0.4314302688983046,2.13733672790991,264.6263550777874,2.393446663842404,120183.90410917185,0,mmBtu
natural gas,104261.00625785353,103489.85649124274,1078.803337210547,98380.29787735961,4030.7552766725985,3.211633491944839,10.287405417696785,31.26772994989345,36.291301237350226,0.4215362566030323,0.3789405218000702,11.120378048826899,0.09919204253941645,0.1432516783934472,216.3581589274852,1.4196658578962942,6135.910915772138,0,mmBtu
"sulfuric acid, 93%",0.566623382172317,0.5333594043814505,0.04648560844322763,0.1394143536356168,0.34745944230260606,8.449909044033092e-05,1.8086202631540442e-05,4.0837657919094823e-05,0.0003194789288962703,2.1339186808930673e-05,1.937709747198445e-05,0.0021510321389230074,2.7655769875271043e-06,8.169389188024745e-06,6.312638337842066e-05,9.910298170036147e-07,0.04110786958670971,0,g
caustic,30.425024737146238,27.052070112850476,5.352005009760997,20.589536760865673,1.1105283422238126,0.003667695412032868,0.00027361373804559737,0.001105038796588916,0.001789449194206998,0.00017882895490417439,0.00011902103405949119,0.0009538087651267465,1.2364190871564035e-05,3.709071159725855e-05,0.00481849446031442,4.3968117624363594e-05,1.8503616700053316,0,g
ammonia,40.05074672174784,39.825918770110924,0.31453031563360034,38.35846860112858,1.1529198533487424,0.0005032079536219281,0.005123856890109755,0.005337843546591538,0.00212580384173779,9.686718695453735e-05,8.710738706104874e-05,0.0007402195584863851,1.4564777685235116e-05,3.515544401892731e-05,0.007331520478138512,4.932514516275235e-05,2.3781753875796965,0,g
corn steep liquor,96.17307719322194,12.434256086332805,0.46325014313213203,8.61916794675669,3.3518379964439835,0.03297823881640362,0.000728678914995531,0.0016370311183653559,0.003765130152093485,0.00022562370370703095,0.00018438990196320597,0.0010790959835545997,3.5130761445057097e-05,3.1238623176942234e-05,0.0020265281039525424,0.002698567020018107,0.8913129364559103,0,g
diammonium phosphate,24.292168425500595,23.112834811006994,1.6501694729418555,16.483574246246874,4.979091091818265,0.009764429028871755,0.0014518721645225947,0.0020950301720692433,0.004894913411134092,0.001058288673686719,0.0008347225752773927,0.011049620245021844,4.8111856107520034e-05,0.00010621832498893018,0.0037908790257546046,3.532192099079819e-05,1.5403860427603833,0,g
corn oil,36.24014440637752,0.8048753006645746,0.24709393436588914,0.38632815070230386,0.15464596482537446,0.0013236910116989668,8.150854764438633e-06,4.333925922233075e-05,6.128649241606374e-05,6.3513399527720635e-06,3.473929680715178e-06,3.140496580760099e-05,2.1483244512633653e-07,1.0523637866581298e-06,0.00012200972685133872,1.060375039549548e-06,0.06094514572064412,0,g
glucose,32.66294731812253,7.741150153985313,0.3146071156464672,6.2813236607134035,1.1452193776254393,0.009829416787595883,0.0002617288763330568,0.0006950850331573079,0.0013918290369968763,8.379291770673282e-05,6.918766251204775e-05,0.00037746044175606416,1.2674764108150264e-05,1.5054698612798884e-05,0.0013703994481754844,0.000805939996496569,0.5147629826806595,0,g
